"id","hash","date","time","median_time","size","stripped_size","weight","version","version_hex","version_bits","merkle_root","nonce","bits","difficulty","chainwork","coinbase_data_hex","transaction_count","witness_count","input_count","output_count","input_total","input_total_usd","output_total","output_total_usd","fee_total","fee_total_usd","fee_per_kb","fee_per_kb_usd","fee_per_kwu","fee_per_kwu_usd","cdd_total","generation","generation_usd","reward","reward_usd","guessed_miner"
"628927","0000000000000000000709ac2bc81d60bb29f55f77539ac3ed363cd229f4a825","2020-05-04","2020-05-04 18:04:19","2020-05-04 17:30:48","1198510","931569","3993217","541065216","20400000","100000010000000000000000000000","24617ad31d54572c30e4e2ce1f07609de725c31a6ce60f596fd5603b14f7055b","489142133","387031859","15958652328578","00000000000000000000000000000000000000000f24a7188500e30413915880","03bf980941d7ac1649c7f0d941d7ac1648fd8ab52f315448617368263538434f494e2ffabe6d6db0f58695cb6c242f62cadf34bbd25ecaf9e74ef3b18a2c32dc333231993bc2588000000000000000c900de49e28c010000000000","1958","843","6131","4841","527159217076","46878400","528409217076","46989600","67147958","5971.23","56044.4","4.98383","16821.6","1.49589","7591.9259911996","1250000000","111158","1317147958","117129","1THash&58COIN"
"628926","0000000000000000000e0bbfc81412e8cf478dc79f5320d6ce02b28110f64820","2020-05-04","2020-05-04 17:58:32","2020-05-04 17:09:35","1194160","933082","3993406","545259520","20800000","100000100000000000000000000000","f938e4305d6f6bad6bb0347e645c9aeb9e4652b4d2890a4ecb7b3b7d3329780b","2271992876","387031859","15958652328578","00000000000000000000000000000000000000000f249894ccaf903054ab6dec","03be980904cb57b05e2f706f6f6c696e2e636f6d2ffabe6d6d1ba2abfecf76bc3db647bd5aaad6c045cdbbd6d2a744dedea253010aa04dcd0501000000000000008a8265170ff6739c40cd233f9e56392f0fec9c2ccd001069000000000000","3049","832","5737","6388","337142327857","29980900","338392327857","30092000","50485475","4489.5","42292.7","3.76095","12647.5","1.1247","21868.714109871","1250000000","111158","1300485475","115648","Poolin"
"628925","00000000000000000009c6c4ddc5a6dea1339b12c1630d52332df5a17b492775","2020-05-04","2020-05-04 17:58:25","2020-05-04 17:02:37","1237795","918594","3993577","536870912","20000000","100000000000000000000000000000","0d6def4678a21e564e51959d53030333ae034a94bb9f78ec771b647b66289eaa","2324130301","387031859","15958652328578","00000000000000000000000000000000000000000f248a11145e3d5c95c58358","03bd980904aa57b05e2f706f6f6c696e2e636f6d2ffabe6d6d3b72ec8a2bfbcf2c102480372002c123a585f72b613cdb456d3b5d7eb8de94e00100000000000000ab60902024a2c28c8368bb34bfb5eea0102410b94500db8a000000000000","2942","1267","5779","6658","1077835198780","95848100","1079085198780","95959300","68706282","6109.81","55527","4.93782","17211.4","1.53055","10470.072224861","1250000000","111158","1318706282","117268","Poolin"
"628924","00000000000000000001e88a21187b1bc4dbf4e441f7c296ef2b6753b4a3314f","2020-05-04","2020-05-04 17:52:19","2020-05-04 16:57:20","1318106","891739","3993323","536870912","20000000","100000000000000000000000000000","463ea19ca9834d1ee5a2a98638b2af2d6bdc39ef1991de1eeeef98ff7c85fb77","104242135","387031859","15958652328578","00000000000000000000000000000000000000000f247b8d5c0cea88d6df98c4","03bc9809044556b05e626a30332f4254432e434f4d2ffabe6d6dc83f279dd52fbf54f6a1fbd9a18a4d0695f576da37d8bc875c85ea4d7259176d080000007296cd100bfdc70b00007c7a2b290000","2338","1028","6234","4847","277536057686","24680300","278786057686","24791500","65504320","5825.07","49711.8","4.4207","16410","1.45928","46112.057193354","1250000000","111158","1315504320","116983","BTC.com"
"628923","000000000000000000084f804ea082b426979060213dd54423df46bfdcda3bc1","2020-05-04","2020-05-04 17:50:05","2020-05-04 16:48:44","1241706","917161","3993189","536870912","20000000","100000000000000000000000000000","a8cf293fa4955de9421d43a5961c75addc5d561e0472de181d78c90ba400d832","560310638","387031859","15958652328578","00000000000000000000000000000000000000000f246d09a3bb97b517f9ae30","03bb98091a4d696e656420627920416e74506f6f6c34ae00010220d0d9f13ffabe6d6d0cb914ae11c78d8dd939d1fdd5932bfeb48376186b6b3398d0f583441b52499d0400000000000000d8f0110077a50200","2885","1446","5305","8984","1200009548689","106713000","1201259548689","106824000","84990046","7557.87","68467.2","6.08855","21291.3","1.89336","29430.817302757","1250000000","111158","1334990046","118716","AntPool"
"628922","0000000000000000000bcc9cc1b6d3cbc1745d234e1f3d17b50c59083cec631f","2020-05-04","2020-05-04 17:30:48","2020-05-04 16:36:23","1289787","901137","3993198","536870912","20000000","100000000000000000000000000000","73c3e6f55c152620277f979303a31e8fc81471c119b5a73950ce488bb4965a9e","2046354479","387031859","15958652328578","00000000000000000000000000000000000000000f245e85eb6a44e15913c39c","03ba9809044951b05e485a2f48756f42692ffabe6d6d2d5cd7ed0b1076b9067f10319ac765d031da66fb4d136234883bf0b7f65b35f208000000352a0978196bd88b4848040000000000","2902","1559","5263","9290","1050044851315","93376800","1051294851315","93488000","91268308","8116.17","70782.7","6.29446","22863.8","2.0332","16386.323290576","1250000000","111158","1341268308","119274","Huobi"
"628921","00000000000000000006f6c1d7c0793f459ac54891a7660fbeb52a182a7423f8","2020-05-04","2020-05-04 17:09:35","2020-05-04 16:34:52","1196742","933927","3998523","541065216","20400000","100000010000000000000000000000","31849d4722b943a5fdad4bbb0fca2b43f92b937a41e0c3e87dbd54f542469335","1233285379","387031859","15958652328578","00000000000000000000000000000000000000000f2450023318f20d9a2dd908","03b998092cfabe6d6d9e93feddce22e2bfcace5a845f8a89fa5c636af3eebf605a9d544bbb3c22243b10000000f09f909f082f4632506f6f6c2f134d696e65642062792076616869646b68686868000000000000000000000000000000000500d9cb0000","2500","983","6000","5686","460848222606","40981600","462098222606","41092800","69196741","6153.42","57843.2","5.14379","17313.1","1.53959","54339.813529379","1250000000","111158","1319196741","117312","F2Pool"
"628920","00000000000000000005951e222ef5dd27cd2e66208ac57da84a7fae1201f535","2020-05-04","2020-05-04 17:02:37","2020-05-04 15:41:10","1230417","921049","3993564","536870912","20000000","100000000000000000000000000000","55bec69b06e66f928881cd6c629dfc190ce21113469127d4f54a7f153a7acc08","3923067725","387031859","15958652328578","00000000000000000000000000000000000000000f24417e7ac79f39db47ee74","03b8980904ae4ab05e652f4254432e434f4d2ffabe6d6d19e28dc46004ccaf568b8760f22129dda6d9a73fb0f623a9540aaf17f8257b4808000000ceeed33d3007f02110e4000000000000","2769","1080","5994","6689","642649414910","57148600","643899414910","57259700","70002188","6225.05","56912.6","5.06104","17535.7","1.55939","9527.5409615712","1250000000","111158","1320002188","117383","BTC.com"
"628919","0000000000000000000c0e0f1aac6b00868a220f35689f0ecabdca4e2e2e3dda","2020-05-04","2020-05-04 16:57:20","2020-05-04 15:39:21","1210941","927441","3993264","536928256","2000e000","100000000000001110000000000000","96f09e17ceeb49484d211cadbf48eade20986096e5e47bcd06c04948554fd027","1945757640","387031859","15958652328578","00000000000000000000000000000000000000000f2432fac2764c661c6203e0","03b79809046e49b05e2f706f6f6c696e2e636f6d2ffabe6d6dbb7b708eeb60b1432a79312f5ea3d295712c7e7aa8f6de0be34c3961543dadb1010000000000000066aa458e2d3a21f7adda3fd95684a1a411eff1f96e005c03010000000000","3029","1284","5080","8960","931422720020","82828200","932672720020","82939300","78004382","6936.66","64440","5.73043","19542.2","1.73782","7828.0297401853","1250000000","111158","1328004382","118095","Poolin"
"628918","0000000000000000000f519c17fb459d480cd42c48c0331b82a42e6a9494d5d9","2020-05-04","2020-05-04 16:48:44","2020-05-04 15:30:43","1365801","875834","3993303","545259520","20800000","100000100000000000000000000000","7e442d38de48e43b4ba8390f4cf7623df64158aaef375d26e21c971f067370a5","3067704513","387031859","15958652328578","00000000000000000000000000000000000000000f2424770a24f9925d7c194c","03b69809046c47b05e485a2f48756f42692ffabe6d6d316ac2329952912803717b8fa12e41b642cdce2325696cce753042de5209d41e08000000352a09780c90bb2baa92030000000000","2761","1396","5581","8156","872437178552","77582800","873687178552","77693900","80943205","7198","59280.4","5.2716","20276.7","1.80314","9157.4442694098","1250000000","111158","1330943205","118356","Huobi"
